#Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1976	0	0	0	0	1	2	3	3	0	0	0	0
1977	0	0	0	0	2	1	1	0	4	1	0	0
1978	0	0	0	2	3	1	5	0	2	3	0	0
1979	0	0	0	3	2	2	2	6	3	0	0	0
1980	0	0	1	1	2	0	3	1	1	0	0	0
1981	0	0	0	0	3	0	3	0	2	1	1	0
1982	0	0	0	2	4	1	2	4	3	1	0	0
1983	0	0	3	1	3	1	0	3	3	2	0	0
1984	0	0	0	1	3	2	1	2	1	2	0	0
1985	0	0	1	1	0	1	1	3	1	0	0	0
1986	0	0	0	1	1	2	4	2	2	0	0	0
1987	0	0	2	2	4	1	5	0	1	0	0	0
1988	0	0	0	0	0	3	1	3	0	0	0	1
1989	0	0	0	1	3	1	2	2	1	0	0	0
1990	0	1	0	2	0	4	1	1	3	1	0	0
1991	0	0	0	0	0	3	1	2	1	2	0	0
1992	0	0	1	3	3	3	2	0	0	0	0	0
1993	0	0	0	0	3	2	1	0	5	1	1	0
1994	0	0	0	0	1	1	6	3	2	0	0	1
1995	0	0	0	0	0	1	7	7	0	4	0	0
1996	0	0	1	2	2	3	0	1	3	0	0	0
1997	0	0	0	2	1	5	7	5	1	1	0	0
1998	0	1	0	2	2	4	2	0	1	1	0	0
1999	0	0	0	2	0	2	0	4	1	0	0	0
2000	0	0	0	4	2	3	2	5	2	1	0	0
2001	0	0	0	0	1	10	4	3	5	0	0	0
2002	0	0	2	0	1	1	1	3	5	3	0	0
2003	0	0	0	1	1	2	0	3	3	0	0	0
2004	0	0	1	2	1	0	3	3	1	0	0	0
2005	0	0	0	0	3	4	1	4	2	0	0	0
2006	0	0	0	2	4	4	4	2	2	0	1	0
2007	0	0	0	1	2	4	0	3	1	0	0	0
2008	0	0	0	1	1	8	4	3	0	1	1	0
2009	0	0	0	0	2	0	1	2	3	0	0	0
2010	0	1	0	0	1	2	2	1	5	0	0	0
2011	0	0	0	0	1	4	1	1	0	1	0	0
2012	0	0	0	1	1	1	3	1	1	0	0	0
2013	0	0	1	0	2	3	2	3	3	0	0	0
2014	0	0	2	0	5	2	0	3	1	1	0	0
2015	0	0	0	1	4	3	2	0	0	1	0	0
2016	0	0	1	1	2	2	0	2	3	4	1	0
2017	0	0	0	0	1	3	2	4	0	0	0	0
2018	0	0	0	0	0	3	3	4	2	0	0	0
2019	0	0	0	1	0	2	2	4	1	1	0	0
2020	0	0	0	0	2	2	0	3	5	1	0	0
